Frame,License_Plate_Text,Char_X1,Char_Y1,Char_X2,Char_Y2,Char_Label
0,17B356396,816,319,839,379,1
0,17B356396,841,318,870,378,7
0,17B356396,899,317,929,376,B
0,17B356396,929,316,959,376,3
0,17B356396,793,382,825,442,5
0,17B356396,829,384,859,442,6
0,17B356396,864,384,894,441,3
0,17B356396,913,382,944,441,9
0,17B356396,950,381,980,440,6
0,99HW102834,335,333,371,395,9
0,99HW102834,362,329,396,394,9
0,99HW102834,414,321,451,386,H
0,99HW102834,415,320,451,386,W
0,99HW102834,442,317,476,382,1
0,99HW102834,333,397,367,457,0
0,99HW102834,362,394,396,455,2
0,99HW102834,391,391,430,451,8
0,99HW102834,436,384,472,444,3
0,99HW102834,467,379,504,440,4
1,17B356396,815,319,837,379,1
1,17B356396,841,318,870,378,7
1,17B356396,899,317,928,377,B
1,17B356396,929,317,958,376,3
1,17B356396,792,384,824,442,5
1,17B356396,829,385,859,443,6
1,17B356396,865,385,894,442,3
1,17B356396,914,384,943,441,9
1,17B356396,949,381,979,440,6
1,99WH102834,334,332,371,396,9
1,99WH102834,361,328,397,393,9
1,99WH102834,414,320,451,386,W
1,99WH102834,414,321,451,386,H
1,99WH102834,442,316,476,382,1
1,99WH102834,332,396,366,457,0
1,99WH102834,360,393,397,456,2
1,99WH102834,390,391,431,451,8
1,99WH102834,436,385,471,444,3
1,99WH102834,468,379,505,440,4
2,17B356396,814,314,839,374,1
2,17B356396,839,312,870,373,7
2,17B356396,898,310,929,372,B
2,17B356396,928,310,960,371,3
2,17B356396,791,378,825,437,5
2,17B356396,826,379,859,438,6
2,17B356396,862,378,894,438,3
2,17B356396,913,377,944,436,9
2,17B356396,949,375,980,435,6
2,99HW1834,334,330,369,393,9
2,99HW1834,360,326,395,390,9
2,99HW1834,412,318,450,384,H
2,99HW1834,413,316,450,384,W
2,99HW1834,439,312,476,379,1
2,99HW1834,388,388,430,449,8
2,99HW1834,433,381,472,443,3
2,99HW1834,467,375,506,437,4
3,17B356396,816,311,839,371,1
3,17B356396,841,307,871,371,7
3,17B356396,898,307,930,370,B
3,17B356396,928,305,963,369,3
3,17B356396,793,378,825,436,5
3,17B356396,830,378,859,436,6
3,17B356396,865,377,895,435,3
3,17B356396,914,374,945,434,9
3,17B356396,950,371,982,432,6
3,99WH102834,334,328,371,392,9
3,99WH102834,360,324,397,390,9
3,99WH102834,413,315,450,382,W
3,99WH102834,413,316,451,383,H
3,99WH102834,440,311,476,378,1
3,99WH102834,332,393,368,456,0
3,99WH102834,359,390,397,453,2
3,99WH102834,389,387,432,447,8
3,99WH102834,434,380,471,442,3
3,99WH102834,466,375,505,438,4
4,99WH102834,333,329,371,392,9
4,99WH102834,359,324,397,389,9
4,99WH102834,413,315,451,383,W
4,99WH102834,413,316,451,383,H
4,99WH102834,440,311,477,378,1
4,99WH102834,332,393,367,454,0
4,99WH102834,362,388,397,450,2
4,99WH102834,391,386,429,448,8
4,99WH102834,435,379,471,441,3
