Frame,License_Plate_Text,Char_X1,Char_Y1,Char_X2,Char_Y2,Char_Label
0,30H31768,708,342,735,396,3
0,30H31768,735,340,762,395,0
0,30H31768,788,333,817,392,H
0,30H31768,814,331,844,389,3
0,30H31768,714,400,742,456,1
0,30H31768,746,398,778,454,7
0,30H31768,784,397,815,451,6
0,30H31768,819,393,853,449,8
0,K34AP2849,269,358,326,514,K
0,K34AP2849,294,363,347,435,3
0,K34AP2849,324,357,380,429,4
0,K34AP2849,325,357,378,430,A
0,K34AP2849,384,349,431,420,P
0,K34AP2849,412,343,467,416,2
0,K34AP2849,308,425,364,489,8
0,K34AP2849,354,416,408,488,4
0,K34AP2849,387,407,440,481,9
1,30H31768,701,338,730,394,3
1,30H31768,726,335,757,392,0
1,30H31768,781,329,812,388,H
1,30H31768,807,327,839,386,3
1,30H31768,707,396,735,452,1
1,30H31768,739,393,775,450,7
1,30H31768,776,392,812,447,6
1,30H31768,812,387,848,444,8
1,73P8,251,353,324,514,7
1,73P8,280,356,348,435,3
1,73P8,374,341,428,417,P
1,73P8,295,425,360,489,8
2,30H31768,690,326,722,383,3
2,30H31768,718,324,748,381,0
2,30H31768,772,318,803,378,H
2,30H31768,797,316,830,375,3
2,30H31768,698,385,727,441,1
2,30H31768,730,383,767,439,7
2,30H31768,767,381,802,436,6
2,30H31768,803,376,839,433,8
2,3A4P2489,276,353,334,426,3
2,3A4P2489,307,347,367,421,A
2,3A4P2489,309,346,368,422,4
2,3A4P2489,367,337,416,409,P
2,3A4P2489,394,330,453,410,2
2,3A4P2489,396,333,466,459,4
2,3A4P2489,289,415,348,478,8
2,3A4P2489,370,398,422,470,9
2,T344471,1131,295,1167,345,T
2,T344471,1142,249,1179,299,3
2,T344471,1154,291,1190,343,4
2,T344471,1169,248,1200,297,4
2,T344471,1179,294,1219,348,4
2,T344471,1209,289,1245,343,7
2,T344471,1232,246,1270,340,1
3,30H31768,690,326,722,383,3
3,30H31768,718,324,748,381,0
3,30H31768,772,318,803,378,H
3,30H31768,797,316,830,375,3
3,30H31768,698,385,727,441,1
3,30H31768,730,383,767,439,7
3,30H31768,767,381,802,436,6
3,30H31768,803,376,839,433,8
3,73P2489,237,342,314,506,7
3,73P2489,274,350,336,423,3
3,73P2489,365,333,417,408,P
3,73P2489,390,319,456,410,2
3,73P2489,394,329,468,460,4
3,73P2489,288,414,350,478,8
3,73P2489,370,396,421,470,9
3,T34447,1131,295,1167,345,T
3,T34447,1143,249,1179,299,3
3,T34447,1154,291,1190,343,4
3,T34447,1169,248,1199,297,4
3,T34447,1179,294,1219,348,4
3,T34447,1209,290,1245,343,7
4,30H31768,685,321,716,377,3
4,30H31768,710,318,742,376,0
4,30H31768,765,312,797,373,H
4,30H31768,791,310,823,369,3
4,30H31768,691,380,722,437,1
4,30H31768,723,378,760,434,7
4,30H31768,761,376,795,431,6
4,30H31768,797,372,832,428,8
4,34P289,268,349,323,419,3
4,34P289,299,344,355,416,4
4,34P289,359,333,409,406,P
4,34P289,386,328,448,405,2
4,34P289,279,406,341,475,8
4,34P289,362,391,415,465,9
5,30H31768,678,319,707,375,3
5,30H31768,704,317,734,374,0
5,30H31768,758,310,789,370,H
5,30H31768,783,308,816,366,3
5,30H31768,681,377,713,433,1
5,30H31768,714,375,751,432,7
5,30H31768,753,373,787,428,6
5,30H31768,790,369,824,425,8
5,3AP489,257,345,317,417,3
5,3AP489,288,340,350,414,A
5,3AP489,349,328,403,403,P
5,3AP489,375,324,456,454,4
5,3AP489,270,409,335,472,8
5,3AP489,351,386,408,462,9
6,30H31768,672,315,701,371,3
6,30H31768,698,312,728,370,0
6,30H31768,752,306,782,366,H
6,30H31768,778,303,809,362,3
6,30H31768,676,373,707,429,1
6,30H31768,709,371,745,428,7
6,30H31768,747,369,780,423,6
6,30H31768,784,364,817,421,8
6,3P89,249,342,309,414,3
6,3P89,341,325,396,399,P
6,3P89,263,403,329,470,8
